TRIBUNAL,UF,MUNICIPIO,CODIGO,NOME,TIPO,CLASSIFICACAO
TJRS,RS,PORTO ALEGRE,3405,2ª VARA DA FAZENDA PÚBLICA - PORTO ALEGRE/RS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PORTO ALEGRE,3406,3ª VARA DA FAZENDA PÚBLICA - PORTO ALEGRE/RS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PORTO ALEGRE,3407,4ª VARA DA FAZENDA PÚBLICA - PORTO ALEGRE/RS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PORTO ALEGRE,3408,5ª VARA DA FAZENDA PÚBLICA - PORTO ALEGRE/RS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PORTO ALEGRE,3409,6ª VARA DA FAZENDA PÚBLICA - PORTO ALEGRE/RS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PORTO ALEGRE,3410,VARA REGIONAL EMPRESARIAL - PORTO ALEGRE/RS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PORTO ALEGRE,3411,VARA DE REGISTROS PÚBLICOS - PORTO ALEGRE/RS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PORTO ALEGRE,3412,VARA ESTADUAL DE ACIDENTE DO TRABALHO - PORTO ALEGRE/RS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PORTO ALEGRE,3413,3ª VARA DE SUCESSÕES - PORTO ALEGRE/RS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PORTO ALEGRE,3414,7ª VARA DA FAZENDA PÚBLICA - PORTO ALEGRE/RS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PORTO ALEGRE,3415,8ª VARA DA FAZENDA PÚBLICA - PORTO ALEGRE/RS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PORTO ALEGRE,3416,1ª VARA DE FAMÍLIA - PORTO ALEGRE/RS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PORTO ALEGRE,3417,VARA DE CURATELAS - PORTO ALEGRE/RS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PORTO ALEGRE,3418,1ª VARA DE SUCESSÕES - PORTO ALEGRE/RS,Unidades judiciárias de primeiro grau,V - Vara
TJRS,RS,PORTO ALEGRE,3419,4ª VARA DE FAMÍLIA - PORTO ALEGRE/RS,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,ARIQUEMES,3420,1ª VARA CÍVEL DE ARIQUEMES,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,ARIQUEMES,3421,2ª VARA CÍVEL DE ARIQUEMES,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,ARIQUEMES,3422,3ª VARA CÍVEL DE ARIQUEMES,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,ARIQUEMES,3423,4ª VARA CÍVEL DE ARIQUEMES,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,ARIQUEMES,3424,1ª VARA CRIMINAL DE ARIQUEMES,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,ARIQUEMES,3425,2ª VARA CRIMINAL DE ARIQUEMES,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,ARIQUEMES,3426,1 JUIZADO ESPECIAL CÍVEL E CRIMINAL DE ARIQUEMES,Unidades judiciárias de primeiro grau,JE - Juizado Especial
TJRO,RO,OURO PRETO DO OESTE,3427,1ª VARA CÍVEL DE OURO PRETO,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,OURO PRETO DO OESTE,3428,VARA CRIMINAL DE OURO PRETO,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,OURO PRETO DO OESTE,3429,JUIZADOS ESPECIAIS DE OURO PRETO,Unidades judiciárias de primeiro grau,JE - Juizado Especial
TJRO,RO,GUAJARA-MIRIM,3430,1ª VARA CÍVEL DE GUAJARÁ,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,GUAJARA-MIRIM,3431,2ª VARA CÍVEL DE GUAJARÁ,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,GUAJARA-MIRIM,3433,1ª VARA CRIMINAL DE GUAJARÁ,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,VILHENA,3434,1ª VARA CÍVEL DE VILHENA,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,VILHENA,3435,2ª VARA CÍVEL DE VILHENA,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,VILHENA,3436,3ª VARA CÍVEL DE VILHENA,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,VILHENA,3437,4ª VARA CÍVEL DE VILHENA,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,VILHENA,3438,1ª VARA CRIMINAL DE VILHENA,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,VILHENA,3439,JUIZADOS ESPECIAIS DE VILHENA,Unidades judiciárias de primeiro grau,JE - Juizado Especial
TJRO,RO,VILHENA,3440,2ª VARA CRIMINAL DE VILHENA,Unidades judiciárias de primeiro grau,V - Vara
